0	[257, 260, 517, 773, 9, 782, 271, 528, 15, 19, 275, 276, 280, 795, 797, 30, 801, 802, 35, 804, 809, 298, 811, 44, 301, 813, 817, 306, 307, 52, 310, 567, 314, 315, 59, 60, 573, 68, 70, 838, 72, 327, 333, 600, 89, 604, 608, 352, 866, 360, 361, 876, 886, 892, 894, 895, 387, 899, 647, 649, 659, 403, 922, 668, 158, 167, 427, 683, 172, 686, 687, 433, 178, 436, 693, 948, 953, 441, 699, 717, 718, 974, 464, 209, 465, 210, 468, 981, 729, 990, 224, 482, 996, 997, 228, 749, 238]
1	[0, 2, 3, 8, 11, 524, 523, 18, 20, 23, 541, 549, 40, 41, 555, 44, 60, 574, 65, 590, 591, 80, 593, 603, 94, 609, 612, 104, 617, 618, 624, 118, 124, 639, 640, 127, 642, 644, 133, 650, 651, 140, 147, 149, 662, 664, 153, 665, 667, 668, 670, 161, 163, 680, 681, 168, 171, 685, 687, 692, 182, 696, 186, 699, 703, 192, 196, 711, 208, 213, 725, 728, 729, 731, 222, 223, 228, 743, 232, 746, 757, 758, 759, 246, 248, 773, 774, 264, 777, 778, 268, 780, 269, 272, 275, 789, 796, 799, 803, 292, 294, 807, 296, 815, 816, 820, 310, 311, 824, 826, 829, 831, 321, 836, 328, 847, 335, 337, 852, 860, 351, 352, 868, 357, 360, 876, 364, 366, 367, 881, 370, 886, 888, 377, 378, 891, 389, 390, 904, 907, 395, 396, 397, 398, 912, 402, 917, 406, 919, 407, 921, 417, 940, 941, 950, 951, 445, 959, 449, 961, 450, 963, 454, 460, 974, 464, 468, 985, 480, 487, 492, 502, 507]
2	[513, 7, 10, 529, 19, 22, 547, 548, 558, 559, 50, 57, 571, 572, 61, 574, 579, 581, 582, 69, 75, 76, 77, 588, 82, 595, 594, 598, 94, 607, 615, 627, 117, 122, 638, 129, 645, 139, 141, 143, 144, 661, 669, 677, 176, 180, 183, 185, 705, 198, 711, 715, 208, 720, 215, 218, 734, 735, 736, 226, 740, 229, 230, 750, 756, 247, 249, 252, 253, 767, 255, 784, 274, 278, 286, 287, 290, 805, 807, 297, 811, 303, 304, 819, 309, 822, 314, 827, 319, 831, 320, 323, 839, 841, 329, 845, 336, 338, 341, 865, 372, 374, 889, 377, 382, 896, 385, 901, 902, 904, 905, 916, 930, 419, 421, 423, 937, 938, 428, 943, 432, 946, 950, 966, 456, 458, 462, 463, 470, 471, 983, 988, 476, 479, 488, 493, 497, 510]
3	[193, 4, 779, 13, 146, 404, 535, 855, 346, 987, 120, 477, 411, 416, 289, 354, 675, 998, 359, 491, 173, 626, 562, 630, 952, 250]
4	[256, 1, 514, 259, 518, 6, 8, 785, 530, 534, 535, 25, 27, 795, 541, 286, 33, 34, 293, 806, 552, 42, 555, 818, 563, 313, 63, 577, 837, 582, 330, 843, 331, 846, 79, 599, 856, 601, 857, 859, 93, 94, 615, 616, 877, 622, 369, 371, 629, 631, 633, 125, 128, 897, 898, 132, 135, 138, 139, 656, 401, 145, 405, 662, 408, 409, 920, 667, 410, 927, 930, 677, 166, 935, 684, 174, 438, 960, 704, 452, 709, 714, 719, 463, 721, 210, 211, 724, 467, 215, 478, 735, 995, 483, 227, 486, 231, 745, 505, 239, 500, 249, 506, 253, 766]
5	[517, 519, 9, 15, 29, 543, 36, 550, 41, 555, 558, 48, 51, 569, 570, 61, 578, 67, 580, 583, 584, 71, 589, 88, 92, 93, 95, 611, 100, 616, 105, 106, 113, 628, 118, 632, 641, 645, 139, 653, 654, 658, 152, 156, 157, 160, 674, 169, 686, 690, 180, 701, 702, 191, 201, 204, 206, 721, 727, 219, 220, 734, 236, 748, 240, 753, 244, 761, 762, 772, 773, 265, 780, 270, 790, 792, 793, 794, 801, 299, 300, 820, 823, 825, 827, 323, 327, 332, 338, 851, 850, 863, 867, 358, 874, 875, 376, 379, 895, 384, 386, 388, 391, 393, 913, 402, 923, 924, 416, 929, 930, 418, 932, 420, 429, 945, 946, 435, 436, 440, 441, 963, 971, 975, 977, 979, 984, 476, 990, 994, 494, 496, 509]
6	[257, 5, 261, 267, 271, 16, 273, 791, 280, 536, 279, 795, 285, 294, 295, 43, 559, 49, 562, 308, 576, 577, 76, 86, 858, 347, 604, 350, 607, 864, 353, 101, 872, 108, 109, 112, 370, 883, 116, 887, 376, 893, 126, 386, 136, 648, 392, 655, 660, 666, 411, 925, 160, 672, 419, 422, 934, 939, 942, 689, 434, 691, 437, 698, 188, 957, 702, 190, 202, 459, 972, 209, 466, 467, 723, 469, 991, 224, 993, 508, 765]
7	[199, 393, 87, 808, 747, 752, 817, 630, 184, 701]
8	[641, 674, 332, 751, 436, 156, 191]
9	[134, 455, 266, 205, 142, 781, 528, 725, 214, 282, 158, 606, 802, 163, 434, 951, 888, 891, 892, 126, 383]
